locus_tag	ftype	length_bp	gene	EC_number	COG	product
NMMJGDOI_00035	CDS	459	rpiB	5.3.1.6	COG0698	Ribose-5-phosphate isomerase B
NMMJGDOI_00035	gene	459	rpiB			
NMMJGDOI_00036	CDS	303				hypothetical protein
NMMJGDOI_00036	gene	303				
NMMJGDOI_00037	CDS	369				hypothetical protein
NMMJGDOI_00037	gene	369				
NMMJGDOI_00038	CDS	369				hypothetical protein
NMMJGDOI_00038	gene	369				
NMMJGDOI_00039	CDS	444				hypothetical protein
NMMJGDOI_00039	gene	444				
NMMJGDOI_00040	CDS	456				hypothetical protein
NMMJGDOI_00040	gene	456				
NMMJGDOI_00041	CDS	1062				hypothetical protein
NMMJGDOI_00041	gene	1062				
NMMJGDOI_00042	CDS	222				hypothetical protein
NMMJGDOI_00042	gene	222				
NMMJGDOI_00043	CDS	249				hypothetical protein
NMMJGDOI_00043	gene	249				
NMMJGDOI_00044	CDS	378				hypothetical protein
NMMJGDOI_00044	gene	378				
NMMJGDOI_00045	CDS	1014				hypothetical protein
NMMJGDOI_00045	gene	1014				
NMMJGDOI_00046	CDS	447				hypothetical protein
NMMJGDOI_00046	gene	447				
NMMJGDOI_00047	CDS	255				hypothetical protein
NMMJGDOI_00047	gene	255				
NMMJGDOI_00048	CDS	555				hypothetical protein
NMMJGDOI_00048	gene	555				
NMMJGDOI_00049	CDS	228				hypothetical protein
NMMJGDOI_00049	gene	228				
NMMJGDOI_00050	CDS	420				hypothetical protein
NMMJGDOI_00050	gene	420				
NMMJGDOI_00051	CDS	216				hypothetical protein
NMMJGDOI_00051	gene	216				
NMMJGDOI_00052	CDS	156				hypothetical protein
NMMJGDOI_00052	gene	156				
NMMJGDOI_00053	CDS	246				hypothetical protein
NMMJGDOI_00053	gene	246				
NMMJGDOI_00054	CDS	201				hypothetical protein
NMMJGDOI_00054	gene	201				
NMMJGDOI_00055	CDS	363				hypothetical protein
NMMJGDOI_00055	gene	363				
NMMJGDOI_00056	CDS	144				hypothetical protein
NMMJGDOI_00056	gene	144				
NMMJGDOI_00057	CDS	555				hypothetical protein
NMMJGDOI_00057	gene	555				
NMMJGDOI_00058	CDS	156				hypothetical protein
NMMJGDOI_00058	gene	156				
NMMJGDOI_00059	CDS	108				hypothetical protein
NMMJGDOI_00059	gene	108				
NMMJGDOI_00060	CDS	387				hypothetical protein
NMMJGDOI_00060	gene	387				
NMMJGDOI_00061	CDS	423				hypothetical protein
NMMJGDOI_00061	gene	423				
NMMJGDOI_00062	CDS	642				hypothetical protein
NMMJGDOI_00062	gene	642				
NMMJGDOI_00063	CDS	204				hypothetical protein
NMMJGDOI_00063	gene	204				
NMMJGDOI_00064	CDS	138				hypothetical protein
NMMJGDOI_00064	gene	138				
NMMJGDOI_00065	CDS	240	glyA1	2.1.2.1	COG0112	Serine hydroxymethyltransferase 1
NMMJGDOI_00065	gene	240	glyA1			
NMMJGDOI_00066	CDS	717	glyA_1	2.1.2.1	COG0112	Serine hydroxymethyltransferase
NMMJGDOI_00066	gene	717	glyA_1			
NMMJGDOI_00067	CDS	258	glyA_2	2.1.2.1	COG0112	Serine hydroxymethyltransferase
NMMJGDOI_00067	gene	258	glyA_2			
NMMJGDOI_00068	CDS	387				hypothetical protein
NMMJGDOI_00068	gene	387				
NMMJGDOI_00069	CDS	351	groS		COG0234	10 kDa chaperonin
NMMJGDOI_00069	gene	351	groS			
NMMJGDOI_00070	CDS	1632	groL			60 kDa chaperonin
NMMJGDOI_00070	gene	1632	groL			
NMMJGDOI_00071	CDS	1098	pepA_1	3.4.11.1	COG0260	putative cytosol aminopeptidase
NMMJGDOI_00071	gene	1098	pepA_1			
NMMJGDOI_00072	CDS	231	pepA_2	3.4.11.10		cytosol aminopeptidase
NMMJGDOI_00072	gene	231	pepA_2			
NMMJGDOI_00073	CDS	357				hypothetical protein
NMMJGDOI_00073	gene	357				
NMMJGDOI_00074	CDS	279				hypothetical protein
NMMJGDOI_00074	gene	279				
NMMJGDOI_00075	CDS	1299	ecfA1_1	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA1
NMMJGDOI_00075	gene	1299	ecfA1_1			
NMMJGDOI_00076	CDS	186				hypothetical protein
NMMJGDOI_00076	gene	186				
NMMJGDOI_00077	CDS	306	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
NMMJGDOI_00077	gene	306	ybeY			
NMMJGDOI_00078	CDS	480	era_1		COG1159	GTPase Era
NMMJGDOI_00078	gene	480	era_1			
NMMJGDOI_00079	CDS	381	era_2			GTPase Era
NMMJGDOI_00079	gene	381	era_2			
NMMJGDOI_00080	CDS	522				Protein P200
NMMJGDOI_00080	gene	522				
NMMJGDOI_00081	CDS	1248				Protein P200
NMMJGDOI_00081	gene	1248				
NMMJGDOI_00082	CDS	405				Protein P200
NMMJGDOI_00082	gene	405				
NMMJGDOI_00083	CDS	117				hypothetical protein
NMMJGDOI_00083	gene	117				
NMMJGDOI_00084	CDS	714				hypothetical protein
NMMJGDOI_00084	gene	714				
NMMJGDOI_00085	CDS	294				hypothetical protein
NMMJGDOI_00085	gene	294				
NMMJGDOI_00086	CDS	168				hypothetical protein
NMMJGDOI_00086	gene	168				
NMMJGDOI_00087	CDS	108	adh_1	1.1.1.80		NADP-dependent isopropanol dehydrogenase
NMMJGDOI_00087	gene	108	adh_1			
NMMJGDOI_00088	CDS	240	adh_2	1.1.1.80		NADP-dependent isopropanol dehydrogenase
NMMJGDOI_00088	gene	240	adh_2			
NMMJGDOI_00089	CDS	150	adh_3	1.1.1.80		NADP-dependent isopropanol dehydrogenase
NMMJGDOI_00089	gene	150	adh_3			
NMMJGDOI_00090	CDS	351	adh_4	1.1.1.80		NADP-dependent isopropanol dehydrogenase
NMMJGDOI_00090	gene	351	adh_4			
NMMJGDOI_00091	CDS	1167	obg	3.6.5.-	COG0536	GTPase Obg
NMMJGDOI_00091	gene	1167	obg			
NMMJGDOI_00092	CDS	666	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
NMMJGDOI_00092	gene	666	nadE			
NMMJGDOI_00093	CDS	138	udk_1	2.7.1.48		Uridine kinase
NMMJGDOI_00093	gene	138	udk_1			
NMMJGDOI_00094	CDS	246	udk_2	2.7.1.48	COG0572	Uridine kinase
NMMJGDOI_00094	gene	246	udk_2			
NMMJGDOI_00095	CDS	207	udk_3	2.7.1.48	COG0572	Uridine kinase
NMMJGDOI_00095	gene	207	udk_3			
NMMJGDOI_00096	CDS	1317	arcA_1	3.5.3.6	COG2235	Arginine deiminase
NMMJGDOI_00096	gene	1317	arcA_1			
NMMJGDOI_00097	tRNA	76				tRNA-Arg(tct)
NMMJGDOI_00097	gene	76				
NMMJGDOI_00098	CDS	222				hypothetical protein
NMMJGDOI_00098	gene	222				
NMMJGDOI_00099	CDS	153				hypothetical protein
NMMJGDOI_00099	gene	153				
NMMJGDOI_00100	CDS	576	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
NMMJGDOI_00100	gene	576	rsmG			
NMMJGDOI_00101	CDS	1839	mnmG			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
NMMJGDOI_00101	gene	1839	mnmG			
NMMJGDOI_00102	CDS	825	argS_1	6.1.1.19		Arginine--tRNA ligase
NMMJGDOI_00102	gene	825	argS_1			
NMMJGDOI_00103	CDS	789	argS_2	6.1.1.19		Arginine--tRNA ligase
NMMJGDOI_00103	gene	789	argS_2			
NMMJGDOI_00104	CDS	582				putative protein MG377 
NMMJGDOI_00104	gene	582				
NMMJGDOI_00105	CDS	156				putative protein MG376 
NMMJGDOI_00105	gene	156				
NMMJGDOI_00106	CDS	465	thrS_1	6.1.1.3		Threonine--tRNA ligase
NMMJGDOI_00106	gene	465	thrS_1			
NMMJGDOI_00107	CDS	519	thrS_2	6.1.1.3		Threonine--tRNA ligase
NMMJGDOI_00107	gene	519	thrS_2			
NMMJGDOI_00108	CDS	279	thrS_3	6.1.1.3		Threonine--tRNA ligase
NMMJGDOI_00108	gene	279	thrS_3			
NMMJGDOI_00109	CDS	261	thrS_4	6.1.1.3		Threonine--tRNA ligase
NMMJGDOI_00109	gene	261	thrS_4			
NMMJGDOI_00110	CDS	663				hypothetical protein
NMMJGDOI_00110	gene	663				
NMMJGDOI_00111	CDS	168				hypothetical protein
NMMJGDOI_00111	gene	168				
NMMJGDOI_00112	CDS	648				hypothetical protein
NMMJGDOI_00112	gene	648				
NMMJGDOI_00113	CDS	984	thiI	2.8.1.4	COG0301	putative tRNA sulfurtransferase
NMMJGDOI_00113	gene	984	thiI			
NMMJGDOI_00114	CDS	138				hypothetical protein
NMMJGDOI_00114	gene	138				
NMMJGDOI_00115	CDS	807	nrnA_1	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
NMMJGDOI_00115	gene	807	nrnA_1			
NMMJGDOI_00116	CDS	123				hypothetical protein
NMMJGDOI_00116	gene	123				
NMMJGDOI_00117	CDS	591	rluC_1	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
NMMJGDOI_00117	gene	591	rluC_1			
NMMJGDOI_00118	CDS	336				hypothetical protein
NMMJGDOI_00118	gene	336				
NMMJGDOI_00119	CDS	513				putative protein
NMMJGDOI_00119	gene	513				
NMMJGDOI_00120	CDS	1140				putative protein
NMMJGDOI_00120	gene	1140				
NMMJGDOI_00121	CDS	987	plsX	2.3.1.-		Phosphate acyltransferase
NMMJGDOI_00121	gene	987	plsX			
NMMJGDOI_00122	CDS	96				hypothetical protein
NMMJGDOI_00122	gene	96				
NMMJGDOI_00123	CDS	621	rnc	3.1.26.3	COG0571	Ribonuclease 3
NMMJGDOI_00123	gene	621	rnc			
NMMJGDOI_00124	CDS	483				hypothetical protein
NMMJGDOI_00124	gene	483				
NMMJGDOI_00125	CDS	108				hypothetical protein
NMMJGDOI_00125	gene	108				
NMMJGDOI_00126	CDS	1125				hypothetical protein
NMMJGDOI_00126	gene	1125				
NMMJGDOI_00127	CDS	183				hypothetical protein
NMMJGDOI_00127	gene	183				
NMMJGDOI_00128	CDS	366	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
NMMJGDOI_00128	gene	366	fmt			
NMMJGDOI_00129	CDS	414				hypothetical protein
NMMJGDOI_00129	gene	414				
NMMJGDOI_00130	CDS	159				hypothetical protein
NMMJGDOI_00130	gene	159				
NMMJGDOI_00131	CDS	264	rpsT		COG0268	30S ribosomal protein S20
NMMJGDOI_00131	gene	264	rpsT			
NMMJGDOI_00132	CDS	369	rplL			50S ribosomal protein L7/L12
NMMJGDOI_00132	gene	369	rplL			
NMMJGDOI_00133	CDS	486	rplJ			50S ribosomal protein L10
NMMJGDOI_00133	gene	486	rplJ			
NMMJGDOI_00134	CDS	564	dinB_1	2.7.7.7	COG0389	DNA polymerase IV
NMMJGDOI_00134	gene	564	dinB_1			
NMMJGDOI_00135	CDS	663	dinB_2	2.7.7.7		DNA polymerase IV
NMMJGDOI_00135	gene	663	dinB_2			
NMMJGDOI_00136	CDS	447	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
NMMJGDOI_00136	gene	447	ruvB_1			
NMMJGDOI_00137	CDS	420	ruvB_2	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
NMMJGDOI_00137	gene	420	ruvB_2			
NMMJGDOI_00138	CDS	621	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
NMMJGDOI_00138	gene	621	ruvA			
NMMJGDOI_00139	CDS	423				hypothetical protein
NMMJGDOI_00139	gene	423				
NMMJGDOI_00140	CDS	171				hypothetical protein
NMMJGDOI_00140	gene	171				
NMMJGDOI_00141	CDS	1173	ackA	2.7.2.1	COG0282	Acetate kinase
NMMJGDOI_00141	gene	1173	ackA			
NMMJGDOI_00142	CDS	360				hypothetical protein
NMMJGDOI_00142	gene	360				
NMMJGDOI_00143	CDS	273				hypothetical protein
NMMJGDOI_00143	gene	273				
NMMJGDOI_00144	CDS	120				hypothetical protein
NMMJGDOI_00144	gene	120				
NMMJGDOI_00145	CDS	966	clpB_1			Chaperone protein ClpB
NMMJGDOI_00145	gene	966	clpB_1			
NMMJGDOI_00146	CDS	1125	clpB_2		COG0542	Chaperone protein ClpB
NMMJGDOI_00146	gene	1125	clpB_2			
NMMJGDOI_00147	CDS	411				putative protein MG354
NMMJGDOI_00147	gene	411				
NMMJGDOI_00148	CDS	315				hypothetical protein
NMMJGDOI_00148	gene	315				
NMMJGDOI_00149	CDS	201	recU	3.1.22.-		Holliday junction resolvase RecU
NMMJGDOI_00149	gene	201	recU			
NMMJGDOI_00150	CDS	555	ppa	3.6.1.1		Inorganic pyrophosphatase
NMMJGDOI_00150	gene	555	ppa			
NMMJGDOI_00151	CDS	210				hypothetical protein
NMMJGDOI_00151	gene	210				
NMMJGDOI_00152	CDS	192				hypothetical protein
NMMJGDOI_00152	gene	192				
NMMJGDOI_00153	tRNA	82				tRNA-Leu(caa)
NMMJGDOI_00153	gene	82				
NMMJGDOI_00154	CDS	303				hypothetical protein
NMMJGDOI_00154	gene	303				
NMMJGDOI_00155	CDS	603				hypothetical protein
NMMJGDOI_00155	gene	603				
NMMJGDOI_00156	CDS	117				hypothetical protein
NMMJGDOI_00156	gene	117				
NMMJGDOI_00157	CDS	111				hypothetical protein
NMMJGDOI_00157	gene	111				
NMMJGDOI_00158	CDS	360				hypothetical protein
NMMJGDOI_00158	gene	360				
NMMJGDOI_00159	tRNA	86				tRNA-Leu(gag)
NMMJGDOI_00159	gene	86				
NMMJGDOI_00160	CDS	321				hypothetical protein
NMMJGDOI_00160	gene	321				
NMMJGDOI_00161	CDS	366				hypothetical protein
NMMJGDOI_00161	gene	366				
NMMJGDOI_00162	tRNA	76				tRNA-His(gtg)
NMMJGDOI_00162	gene	76				
NMMJGDOI_00163	CDS	273	trmB_1	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
NMMJGDOI_00163	gene	273	trmB_1			
NMMJGDOI_00164	CDS	342	trmB_2	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
NMMJGDOI_00164	gene	342	trmB_2			
NMMJGDOI_00165	CDS	399	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
NMMJGDOI_00165	gene	399	trmL			
NMMJGDOI_00166	CDS	93				hypothetical protein
NMMJGDOI_00166	gene	93				
NMMJGDOI_00167	CDS	294	ileS_1	6.1.1.5	COG0060	Isoleucine--tRNA ligase
NMMJGDOI_00167	gene	294	ileS_1			
NMMJGDOI_00168	CDS	288	ileS_2	6.1.1.5		Isoleucine--tRNA ligase
NMMJGDOI_00168	gene	288	ileS_2			
NMMJGDOI_00169	CDS	168	ileS_3	6.1.1.5	COG0060	Isoleucine--tRNA ligase
NMMJGDOI_00169	gene	168	ileS_3			
NMMJGDOI_00170	CDS	483	ileS_4	6.1.1.5	COG0060	Isoleucine--tRNA ligase
NMMJGDOI_00170	gene	483	ileS_4			
NMMJGDOI_00171	CDS	414	ileS_5	6.1.1.5		Isoleucine--tRNA ligase
NMMJGDOI_00171	gene	414	ileS_5			
NMMJGDOI_00172	CDS	405	ileS_6	6.1.1.5		Isoleucine--tRNA ligase
NMMJGDOI_00172	gene	405	ileS_6			
NMMJGDOI_00173	CDS	180				hypothetical protein
NMMJGDOI_00173	gene	180				
NMMJGDOI_00174	CDS	207				hypothetical protein
NMMJGDOI_00174	gene	207				
NMMJGDOI_00175	CDS	309				hypothetical protein
NMMJGDOI_00175	gene	309				
NMMJGDOI_00176	CDS	768				hypothetical protein
NMMJGDOI_00176	gene	768				
NMMJGDOI_00177	CDS	246				hypothetical protein
NMMJGDOI_00177	gene	246				
NMMJGDOI_00178	CDS	228				hypothetical protein
NMMJGDOI_00178	gene	228				
NMMJGDOI_00179	CDS	180				hypothetical protein
NMMJGDOI_00179	gene	180				
NMMJGDOI_00180	CDS	138				hypothetical protein
NMMJGDOI_00180	gene	138				
NMMJGDOI_00181	CDS	135				hypothetical protein
NMMJGDOI_00181	gene	135				
NMMJGDOI_00182	CDS	393				hypothetical protein
NMMJGDOI_00182	gene	393				
NMMJGDOI_00183	CDS	123				hypothetical protein
NMMJGDOI_00183	gene	123				
NMMJGDOI_00184	CDS	576				Mgp-operon protein 3
NMMJGDOI_00184	gene	576				
NMMJGDOI_00185	CDS	327				Mgp-operon protein 3
NMMJGDOI_00185	gene	327				
NMMJGDOI_00186	CDS	639				Mgp-operon protein 3
NMMJGDOI_00186	gene	639				
NMMJGDOI_00187	CDS	363				hypothetical protein
NMMJGDOI_00187	gene	363				
NMMJGDOI_00188	CDS	90				hypothetical protein
NMMJGDOI_00188	gene	90				
NMMJGDOI_00189	CDS	249				hypothetical protein
NMMJGDOI_00189	gene	249				
NMMJGDOI_00190	CDS	288				hypothetical protein
NMMJGDOI_00190	gene	288				
NMMJGDOI_00191	CDS	168				hypothetical protein
NMMJGDOI_00191	gene	168				
NMMJGDOI_00192	CDS	1314	rny	3.1.-.-	COG1418	Ribonuclease Y
NMMJGDOI_00192	gene	1314	rny			
NMMJGDOI_00193	CDS	327				hypothetical protein
NMMJGDOI_00193	gene	327				
NMMJGDOI_00194	CDS	780	nadK	2.7.1.23	COG0061	NAD kinase
NMMJGDOI_00194	gene	780	nadK			
NMMJGDOI_00195	CDS	438	spxA		COG1393	Regulatory protein Spx
NMMJGDOI_00195	gene	438	spxA			
NMMJGDOI_00196	CDS	1038	trpS	6.1.1.2		Tryptophan--tRNA ligase
NMMJGDOI_00196	gene	1038	trpS			
NMMJGDOI_00197	CDS	360	ywpJ	3.1.3.-	COG0561	Phosphatase YwpJ
NMMJGDOI_00197	gene	360	ywpJ			
NMMJGDOI_00198	CDS	405				hypothetical protein
NMMJGDOI_00198	gene	405				
NMMJGDOI_00199	CDS	171	trxA		COG0526	Thioredoxin
NMMJGDOI_00199	gene	171	trxA			
NMMJGDOI_00200	CDS	456				hypothetical protein
NMMJGDOI_00200	gene	456				
NMMJGDOI_00201	CDS	300				hypothetical protein
NMMJGDOI_00201	gene	300				
NMMJGDOI_00202	CDS	255				hypothetical protein
NMMJGDOI_00202	gene	255				
NMMJGDOI_00203	CDS	1494	topA_1	5.99.1.2		DNA topoisomerase 1
NMMJGDOI_00203	gene	1494	topA_1			
NMMJGDOI_00204	CDS	282	topA_2	5.99.1.2		DNA topoisomerase 1
NMMJGDOI_00204	gene	282	topA_2			
NMMJGDOI_00205	CDS	168	topA_3	5.99.1.2		DNA topoisomerase 1
NMMJGDOI_00205	gene	168	topA_3			
NMMJGDOI_00206	CDS	183				hypothetical protein
NMMJGDOI_00206	gene	183				
NMMJGDOI_00207	CDS	432				hypothetical protein
NMMJGDOI_00207	gene	432				
NMMJGDOI_00208	CDS	210				hypothetical protein
NMMJGDOI_00208	gene	210				
NMMJGDOI_00209	CDS	705				hypothetical protein
NMMJGDOI_00209	gene	705				
NMMJGDOI_00210	CDS	657				hypothetical protein
NMMJGDOI_00210	gene	657				
NMMJGDOI_00211	CDS	381	fruK_1	3.6.3.17	COG1129	Fructose import ATP-binding protein FruK
NMMJGDOI_00211	gene	381	fruK_1			
NMMJGDOI_00212	CDS	369	ftsE		COG2884	Cell division ATP-binding protein FtsE
NMMJGDOI_00212	gene	369	ftsE			
NMMJGDOI_00213	CDS	924	mglA	3.6.3.17	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
NMMJGDOI_00213	gene	924	mglA			
NMMJGDOI_00214	CDS	273	galE_1	5.1.3.2	COG1087	UDP-glucose 4-epimerase
NMMJGDOI_00214	gene	273	galE_1			
NMMJGDOI_00215	CDS	738	galE_2	5.1.3.2	COG1087	UDP-glucose 4-epimerase
NMMJGDOI_00215	gene	738	galE_2			
NMMJGDOI_00216	CDS	381				hypothetical protein
NMMJGDOI_00216	gene	381				
NMMJGDOI_00217	CDS	225				hypothetical protein
NMMJGDOI_00217	gene	225				
NMMJGDOI_00218	CDS	756	ispD	2.7.7.60		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
NMMJGDOI_00218	gene	756	ispD			
NMMJGDOI_00219	CDS	474				Protein MG115 
NMMJGDOI_00219	gene	474				
NMMJGDOI_00220	CDS	159				hypothetical protein
NMMJGDOI_00220	gene	159				
NMMJGDOI_00221	CDS	1290	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
NMMJGDOI_00221	gene	1290	asnS			
NMMJGDOI_00222	CDS	633	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
NMMJGDOI_00222	gene	633	rpe			
NMMJGDOI_00223	CDS	507	pgi_1	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
NMMJGDOI_00223	gene	507	pgi_1			
NMMJGDOI_00224	CDS	360	pgiB	5.3.1.9		Glucose-6-phosphate isomerase B
NMMJGDOI_00224	gene	360	pgiB			
NMMJGDOI_00225	CDS	393	pgi_2	5.3.1.9		Glucose-6-phosphate isomerase
NMMJGDOI_00225	gene	393	pgi_2			
NMMJGDOI_00226	CDS	531	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
NMMJGDOI_00226	gene	531	rsgA			
NMMJGDOI_00227	CDS	174				hypothetical protein
NMMJGDOI_00227	gene	174				
NMMJGDOI_00228	CDS	969	prkC	2.7.11.1		Serine/threonine-protein kinase PrkC
NMMJGDOI_00228	gene	969	prkC			
NMMJGDOI_00229	CDS	396	phpP_1	3.1.3.16	COG0631	Protein phosphatase PhpP
NMMJGDOI_00229	gene	396	phpP_1			
NMMJGDOI_00230	CDS	375	phpP_2	3.1.3.16	COG0631	Protein phosphatase PhpP
NMMJGDOI_00230	gene	375	phpP_2			
NMMJGDOI_00231	CDS	345	gmk_1	2.7.4.8	COG0194	Guanylate kinase
NMMJGDOI_00231	gene	345	gmk_1			
NMMJGDOI_00232	CDS	222	gmk_2	2.7.4.8	COG0194	Guanylate kinase
NMMJGDOI_00232	gene	222	gmk_2			
NMMJGDOI_00233	CDS	183	def	3.5.1.88		Peptide deformylase
NMMJGDOI_00233	gene	183	def			
NMMJGDOI_00234	CDS	186		3.5.1.88		Peptide deformylase 2
NMMJGDOI_00234	gene	186				
NMMJGDOI_00235	CDS	609	cdaS	2.7.7.85		Diadenylate cyclase CdaS
NMMJGDOI_00235	gene	609	cdaS			
NMMJGDOI_00236	CDS	684	rnr_1	3.1.13.1	COG0557	Ribonuclease R
NMMJGDOI_00236	gene	684	rnr_1			
NMMJGDOI_00237	CDS	180	rnr_2	3.1.13.1		Ribonuclease R
NMMJGDOI_00237	gene	180	rnr_2			
NMMJGDOI_00238	CDS	948	rnr_3	3.1.13.1	COG0557	Ribonuclease R
NMMJGDOI_00238	gene	948	rnr_3			
NMMJGDOI_00239	CDS	162				hypothetical protein
NMMJGDOI_00239	gene	162				
NMMJGDOI_00240	CDS	231				hypothetical protein
NMMJGDOI_00240	gene	231				
NMMJGDOI_00241	CDS	687	whiA			Putative sporulation transcription regulator WhiA
NMMJGDOI_00241	gene	687	whiA			
NMMJGDOI_00242	CDS	948	trxB	1.8.1.9	COG0492	Thioredoxin reductase
NMMJGDOI_00242	gene	948	trxB			
NMMJGDOI_00243	CDS	369				hypothetical protein
NMMJGDOI_00243	gene	369				
NMMJGDOI_00244	CDS	282				hypothetical protein
NMMJGDOI_00244	gene	282				
NMMJGDOI_00245	CDS	1434	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
NMMJGDOI_00245	gene	1434	gatB			
NMMJGDOI_00246	CDS	480	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
NMMJGDOI_00246	gene	480	gatA_1			
NMMJGDOI_00247	CDS	360	gatA_2	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
NMMJGDOI_00247	gene	360	gatA_2			
